seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
45,Ruth,Blair,28,Wutka Highway,Mokmasu,IA,31835,$7292.42,YELLOW,03/13/1936
46,Fannie,Keller,20,Ojeite View,Jidpufbor,MA,25041,$913.45,BLUE,06/19/1954
47,Nelle,Griffin,60,Vomid Avenue,Kappuwas,NH,16477,$7270.41,YELLOW,11/07/1931
48,Kate,Peters,24,Lehkop Grove,Mumeja,CO,75805,$7507.82,WHITE,04/27/2004
49,Chester,Kim,27,Dijfu Heights,Uruninen,TX,04729,$969.83,BLUE,02/05/2030
50,Effie,Griffin,60,Adotic Pike,Gewehgoz,SC,70357,$1060.56,YELLOW,07/03/1921
51,David,Richards,61,Cedano Pike,Igtilfag,NV,51695,$9304.22,WHITE,02/12/1938
52,Sue,Fowler,29,Sibsu Avenue,Kuhgumol,MT,96995,$6483.40,BLUE,03/09/2019
53,Hilda,Garrett,57,Cakug Circle,Covmacwe,KS,24807,$8687.40,WHITE,06/30/2048
54,Shane,Underwood,25,Fodem Trail,Zezvissi,SD,11003,$1883.18,RED,04/05/1993
55,Irene,Wilkins,57,Kuhjaz Plaza,Owkagpa,WI,36986,$9608.43,WHITE,09/20/2053
56,Lou,Kim,58,Usibu Plaza,Sukweduv,OH,72925,$1967.46,BLUE,09/22/2015
57,Marion,White,26,Juvu Ridge,Mihuwe,WY,74730,$204.64,BLUE,04/06/2006
58,Sam,Vargas,28,Caba Place,Jucjewim,AZ,47379,$8774.12,GREEN,02/19/2064
59,Samuel,McKenzie,21,Fucu Place,Wilvifral,NM,12619,$1370.07,RED,04/22/2066
60,Alan,Farmer,27,Sevku Highway,Wolriko,SC,80379,$6001.86,GREEN,03/17/1919
61,Jeremy,Chapman,24,Vicod Avenue,Afbevo,AL,30408,$5247.50,YELLOW,08/26/1913
62,Harry,Rodriguez,27,Rawgul Heights,Ongidhef,PA,73234,$9599.43,BLUE,12/03/1924
63,Edward,Schultz,61,Lebi Key,Ewanuhuf,CO,45804,$6845.03,BLUE,04/28/1973
64,Elsie,Hughes,39,Gaop Point,Fuisiwe,NM,38304,$247.01,YELLOW,12/10/1998
65,Francis,Carlson,24,Mefnef Parkway,Zarmebub,ID,91552,$9520.12,GREEN,12/24/2053
66,Elsie,Banks,49,Pewo Pass,Cihomle,CO,45996,$7055.17,WHITE,06/23/1914
67,Louise,Byrd,28,Mafaca Avenue,Ucaanabip,FL,46198,$9043.56,WHITE,11/22/1919
68,Stella,Harvey,47,Rauhe Circle,Vasokiz,NE,04218,$8288.26,WHITE,11/20/1974
69,David,Norton,58,Ejlih Avenue,Nifezige,AR,36411,$4925.31,YELLOW,11/22/1987
70,Timothy,Townsend,54,Reta View,Orfohzu,NJ,32421,$1547.12,YELLOW,08/04/1912
71,Delia,Hawkins,60,Cicor Glen,Jaehurol,NC,54816,$4171.24,BLUE,01/03/2023
72,Jorge,Roberts,64,Ihel Center,Gekakzuh,WA,78347,$6012.27,YELLOW,07/25/2015
73,Fred,Hunt,31,Welfa Grove,Opapueh,IA,61969,$4930.42,YELLOW,09/28/1925
74,Vernon,Butler,34,Jozve Turnpike,Zugmaiw,PA,76423,$3053.42,WHITE,11/21/1938
75,Olga,Klein,48,Sebodu Loop,Huzodon,NV,28776,$7417.98,WHITE,07/27/1979
76,Gary,Palmer,47,Asob Drive,Acahieja,TN,28955,$38.00,WHITE,04/27/1946
77,Paul,Leonard,53,Uloezo Pike,Ocarebam,WA,32636,$8876.12,WHITE,11/23/1956
78,Nannie,Meyer,27,Sergot Ridge,Dupimadi,MS,97048,$3004.98,GREEN,08/04/1954
79,Olivia,Sanchez,47,Cutoru Place,Mumedolef,IA,30362,$5044.26,YELLOW,07/03/2042
80,Hulda,Payne,62,Zulok Terrace,Sokaktan,OK,04878,$5726.27,RED,10/18/1935
81,Emily,Long,65,Baba Lane,Gizadaz,UT,19301,$2220.03,BLUE,01/17/1907
82,Clifford,Thompson,59,Fufla Center,Apuneni,MS,50627,$8382.17,GREEN,11/08/1932
83,Christine,Brock,49,Iruja Highway,Buftulul,MN,97026,$131.68,WHITE,11/12/1978
84,Eugenia,Holland,28,Vezfi Park,Tibmiani,MO,97687,$9558.27,RED,06/27/2064
85,Bertha,Cohen,62,Tere View,Nelsiki,MN,41366,$8672.59,BLUE,06/08/1987
86,Jordan,Reeves,20,Wavuno Point,Ejoughu,IA,58154,$6485.47,RED,05/01/2027
87,Dean,Hanson,21,Udgef Center,Vibcikmac,NC,66721,$3401.07,RED,01/13/1948
88,Virgie,Chavez,47,Gohdu Terrace,Nipveazu,ND,00232,$940.86,BLUE,08/27/1993
89,Gene,Sharp,38,Hetu Extension,Nunopah,AR,88943,$14.25,RED,10/15/1975
90,Caroline,Stanley,62,Hifug Trail,Kolafeb,TN,57194,$7107.67,RED,09/09/2069
91,Virgie,Adams,27,Lumug Drive,Sadsilbi,MT,52116,$3460.36,WHITE,12/14/2050
92,Henrietta,Clarke,31,Munnus Drive,Anfodko,FL,00919,$3280.88,RED,05/15/1939
93,Isabel,Wright,34,Guite Pass,Waepasig,ID,95076,$4195.53,YELLOW,11/26/1947
94,Sara,Roy,29,Obpe Park,Poversez,NC,66150,$5943.83,GREEN,12/09/1923
95,Bernice,Fuller,58,Didom Pike,Olmomfic,CO,72432,$8666.44,WHITE,10/14/1992
96,Lester,Barton,31,Bekur Turnpike,Werenkiv,IA,31325,$2720.13,BLUE,12/06/2036
97,Bernard,Ramos,44,Fibew Road,Vupomjo,VA,72869,$7627.27,YELLOW,06/07/1932
98,Sylvia,Ramsey,34,Calijo Lane,Giignom,AZ,04316,$3685.95,WHITE,02/21/2040
99,Evelyn,Marsh,34,Feun Street,Lehhizu,NM,25183,$8955.77,YELLOW,05/21/1983
100,Alice,Daniels,51,Haha Highway,Dozcahin,KY,94468,$2107.46,YELLOW,11/27/1925
101,Jerome,Gonzalez,30,Odikel View,Kosodeh,HI,25235,$8369.32,YELLOW,01/07/1950
102,Julian,Bowen,44,Alino Plaza,Rarzaher,NJ,75393,$9427.53,BLUE,12/21/1984
103,Isabella,Fernandez,38,Fobfaf Court,Mukunep,MD,47206,$8698.23,YELLOW,03/08/2023
104,Garrett,Gutierrez,18,Coctej Place,Jufvoppuc,OH,30913,$8405.09,YELLOW,05/11/1966
105,Edwin,Chandler,41,Ugica Turnpike,Cakemar,FL,48440,$2684.91,GREEN,07/09/2069
106,Tyler,Greene,38,Ehouhu Pass,Arupubom,FL,93049,$1383.48,WHITE,11/18/2007
107,Jerry,Taylor,31,Zaklo Junction,Bimgejzig,PA,23014,$710.27,BLUE,01/31/1953
108,Pearl,Wagner,28,Ruon Drive,Oliakeen,DC,08682,$2532.38,WHITE,06/28/2010
109,Pearl,Hunt,62,Jejze Turnpike,Veafle,IL,35933,$1534.47,BLUE,05/07/2060
110,Louisa,Goodwin,42,Cuwmu Park,Jeagpu,CO,11335,$9585.87,BLUE,06/22/2012
111,Henry,Mendoza,21,Kavur View,Gagula,LA,80923,$4265.85,GREEN,05/12/1932
112,Sophie,Hopkins,19,Femuv River,Vicokhun,WA,52144,$7808.21,WHITE,11/24/1970
113,Edna,Jackson,24,Cige Road,Irafelivi,CT,57909,$5361.97,YELLOW,11/28/2015
114,Raymond,Garcia,46,Ilza Pass,Haporri,KS,63837,$8515.66,WHITE,04/23/1904
115,Hester,Jacobs,55,Behjom Park,Boorzi,OR,98810,$7994.09,WHITE,08/09/1927
116,Polly,Santos,58,Iffag Square,Moewku,OK,25994,$8844.44,YELLOW,02/10/1939
117,Kate,Black,65,Tigo Glen,Ejaizdi,WY,86040,$1811.93,YELLOW,07/11/1915
118,Curtis,Williams,33,Kirgak Pike,Unuwove,AK,19157,$9122.67,WHITE,07/26/1905
119,Carl,Norman,50,Pueco Heights,Wigubrej,NM,64697,$9656.84,RED,03/24/1942
120,Maria,Estrada,56,Revpa Extension,Mosusbi,WV,45131,$6309.72,BLUE,07/04/1925
121,Jesse,Rhodes,38,Imeti Park,Kuhabo,NY,81498,$1665.50,YELLOW,01/30/2049
122,Bernice,Morton,32,Zepor Loop,Vaseheji,GA,00111,$8147.50,YELLOW,07/16/2041
123,Lucas,May,55,Deda Square,Kehedno,WY,26343,$2899.35,YELLOW,07/12/1900
124,Maurice,Stephens,43,Bien Manor,Azcufle,ID,62548,$3300.84,WHITE,03/03/1920
125,Elva,Black,25,Zamtow Grove,Unfimis,NE,61091,$1431.16,RED,04/06/1923
126,Ophelia,Hawkins,54,Jopug Court,Tomive,VT,86890,$3687.80,RED,09/06/1923
127,Mollie,Barber,32,Sozno Highway,Vomegvo,MN,01049,$7647.02,RED,02/02/1958
128,Elva,Bridges,45,Niged Way,Pagojago,NC,34312,$3719.67,BLUE,04/08/1955
129,Eva,Cummings,50,Tegvu Terrace,Kovetwul,AL,55541,$5791.16,YELLOW,03/22/2025
130,Phillip,Arnold,33,Ride Square,Seraiva,PA,29475,$2442.47,BLUE,02/07/1938
131,Lucy,Castillo,47,Rage Street,Urovelug,MA,93284,$9969.18,GREEN,03/08/1970
132,Bernard,Sandoval,41,Bonaf Manor,Zoahenat,DC,97203,$4686.74,BLUE,12/03/1908
133,Ada,McKinney,49,Fagtom Terrace,Paezce,KS,97529,$9836.53,GREEN,01/08/1949
134,Frederick,McGee,24,Daop Ridge,Zohinis,MI,73227,$7892.89,WHITE,05/06/2024
135,Ethel,Norton,48,Wuvew Glen,Nuojgos,LA,03352,$2997.97,GREEN,08/30/1943
136,Roy,Aguilar,46,Podis Circle,Nudlizdet,MA,21056,$2969.46,RED,12/19/1996
137,William,McKenzie,33,Gugza Extension,Jurucdok,ND,33144,$6075.92,YELLOW,06/02/1914
138,Caroline,Cain,49,Bazmam Extension,Zefehazo,NV,52711,$7579.50,WHITE,10/14/1923
139,Elmer,Hudson,42,Tagvop Way,Vuzhelbew,RI,88593,$2967.16,GREEN,06/28/2020
140,Erik,Brock,38,Jiad Pike,Veinnog,WY,16026,$3236.85,BLUE,02/25/2041
141,Donald,Norton,29,Kamos Court,Tamofen,LA,04407,$4190.94,GREEN,02/17/2035
142,Samuel,Stanley,45,Wochem Street,Nepukjug,NV,00831,$8904.44,BLUE,05/13/1974
143,Nina,Brady,50,Pubhej Ridge,Ejosecu,NE,80809,$2965.22,BLUE,03/29/1956
144,Ernest,Jimenez,35,Uplig Ridge,Vederela,FL,12090,$8078.70,YELLOW,05/30/1997
145,Lester,Mack,51,Jofove Court,Sudseasi,RI,51593,$2428.57,GREEN,04/08/2035
146,Nathan,Gordon,55,Cuzot Plaza,Pavzozga,TN,46753,$2263.27,WHITE,06/16/1989
147,Lena,Roy,50,Todluj Highway,Orepedpa,WV,49557,$2182.37,YELLOW,02/19/2038
148,Dora,Daniels,22,Burhet Court,Bouhafo,OR,21282,$4207.96,RED,03/02/1910
149,Herbert,Lindsey,40,Zezkum Pass,Iwazajuh,AK,78942,$8359.33,BLUE,06/19/2054
150,Emily,Watson,28,Ajlew Terrace,Negwuhuf,IN,14595,$9699.43,WHITE,05/25/2038
151,Eric,Douglas,19,Covuf Terrace,Okotipek,CT,98610,$2734.07,WHITE,12/07/1912
152,Joshua,Huff,24,Cipi Road,Eveloop,MN,84626,$2008.77,RED,06/25/2070
153,Etta,Henderson,22,Jakni Court,Sawufuz,DC,50113,$9859.74,YELLOW,07/23/2043
154,Carl,Saunders,36,Gohtid Trail,Kufnouc,OR,27154,$1842.43,BLUE,06/19/1985
155,Pauline,Moreno,19,Apfus Avenue,Suvwofid,GA,44235,$9975.50,GREEN,04/01/1977
156,Douglas,Stokes,38,Bepan Path,Vogazor,WI,75770,$4014.56,GREEN,09/24/2025
157,Michael,Wise,65,Avode Place,Sufewi,LA,12307,$6485.09,BLUE,02/12/1916
158,Ida,Conner,40,Kadaj Path,Laipeono,MN,90625,$9495.57,YELLOW,07/19/2068
159,Rosie,Douglas,60,Zeat Glen,Dijtujjiv,NH,49993,$3978.70,BLUE,03/23/1923
160,Vernon,Ross,41,Voeco Trail,Cafdeowi,OK,98118,$1465.71,BLUE,03/31/1949
161,Shawn,Norris,25,Tipa River,Arruhic,KS,85413,$3811.46,RED,11/22/2054
162,Josie,Johnston,62,Maaki Glen,Juwubaf,FL,65811,$4561.12,BLUE,07/12/2043
163,Florence,Harris,33,Rojuk Heights,Mohikzif,NM,14573,$8261.77,RED,03/04/1975
164,Mollie,Ruiz,60,Rewer Lane,Sowaron,ID,33654,$2917.90,GREEN,02/15/2057
165,Jimmy,Wood,31,Sifcu View,Fekgoiz,AK,60006,$4047.75,BLUE,12/12/2066
166,Nina,Bass,45,Hovvog Heights,Bevrirpal,AK,13243,$8619.02,YELLOW,06/18/2009
167,Mabelle,Webster,54,Sokdoj Manor,Ejawokme,ND,50527,$4741.05,BLUE,11/01/1963
168,Isaac,Waters,46,Dedep Road,Vumnajos,SD,76379,$9086.39,RED,01/06/1941
169,Alexander,Perry,49,Udimip Square,Apuvoge,KS,39528,$2285.74,YELLOW,03/05/2038
170,Ada,Thompson,47,Inevig View,Jogitje,MN,86413,$1080.55,YELLOW,11/30/2065
171,Stephen,Dixon,38,Duhwu Manor,Pukgiwhab,SC,11097,$2348.04,WHITE,09/08/1901
172,Daniel,Wade,56,Fifa Loop,Kucuja,MI,01619,$5766.34,BLUE,01/24/2047
173,Sylvia,Buchanan,18,Pekim Boulevard,Irilgef,NJ,11248,$1163.88,RED,02/06/1976
174,Alma,Richardson,25,Feku Lane,Kislucva,NJ,70098,$7270.96,YELLOW,04/19/1906
175,Jesus,George,65,Zugoso Place,Widokisam,OK,30717,$1696.50,WHITE,02/11/2058
176,Bruce,Phillips,27,Alocu Path,Muzaje,KS,15782,$2215.38,GREEN,02/12/1998
177,Hannah,Cooper,49,Ricu Lane,Urweac,IN,82077,$2445.93,YELLOW,01/28/2046
178,Sally,Gardner,39,Talilu Avenue,Boajuju,CA,24669,$1427.96,BLUE,09/07/1996
179,Bradley,Waters,63,Uhatu Extension,Giseke,AK,63348,$6409.87,RED,05/23/1935
180,Ina,Moran,43,Hassij Key,Bevapi,CA,43819,$9289.93,GREEN,04/16/2006
181,Jackson,Patton,31,Suvtah Junction,Cajaptuz,PA,62148,$2647.91,YELLOW,06/03/2012
182,Elsie,Campbell,35,Dotzac Pass,Hiudfe,TN,17020,$7690.54,GREEN,04/14/1923
183,Addie,Guzman,62,Bujov Extension,Ciugifa,ID,17437,$1143.52,YELLOW,04/20/1968
184,Norman,Pittman,56,Tutka Highway,Obeahmoh,DE,02998,$6376.19,BLUE,02/01/2034
185,Leila,McGee,27,Oduja Glen,Kudfohjif,AL,66873,$9761.95,RED,07/08/2061
186,Isabella,Patton,48,Ledet Terrace,Niheuf,AR,92376,$1362.43,RED,10/25/2054
187,Patrick,Phillips,34,Sivlaz Street,Nawepo,MD,02490,$2216.29,RED,11/29/2006
188,Brandon,Bryan,64,Ojda Park,Huwhibi,IN,89253,$8301.25,WHITE,12/16/1917
189,Beulah,Holloway,42,Ninu Plaza,Giimazo,TN,26795,$6490.12,GREEN,09/09/2049
190,Patrick,Hammond,59,Bamfit Pass,Gempufof,NY,65392,$2517.91,WHITE,09/14/2033
191,Gabriel,Sims,45,Maso Ridge,Hewadas,NC,29699,$6922.23,GREEN,02/16/2048
192,Micheal,Larson,19,Wimve Point,Enoiwkep,ND,82833,$6925.08,YELLOW,05/03/2062
193,Samuel,Brown,50,Ojudes Court,Fengiar,FL,16549,$8190.60,YELLOW,09/19/1964
194,Mollie,Hicks,21,Soone Glen,Vogudho,NH,37783,$9986.88,BLUE,01/19/1971
195,Katharine,Patton,41,Egnet Street,Cuhhocpuj,MN,88413,$3098.69,GREEN,05/19/1956
196,Myrtie,Robbins,35,Hanid Terrace,Ikowisod,UT,19500,$2990.47,YELLOW,11/28/1994
197,Joe,Delgado,63,Tozif Place,Ziskujut,WI,45368,$4408.60,YELLOW,05/15/2000
198,Raymond,Cross,62,Julbe Court,Zoguvkor,IA,35085,$5639.89,WHITE,06/03/1969
199,Joshua,Ramos,35,Genul Court,Fupnavto,TN,13947,$9430.59,YELLOW,01/17/2058
200,Henrietta,Todd,25,Asumek Terrace,Guwfumwu,VA,33787,$1304.76,BLUE,09/17/1919
201,Leah,Gibson,50,Kenevi Boulevard,Ecoocauv,IA,94378,$9533.97,WHITE,11/02/1974
202,Gerald,Alvarado,37,Vawtak Ridge,Rilehile,IN,75032,$6172.78,RED,01/09/2049
203,Elnora,Luna,49,Vugor Lane,Muwegwif,NY,17685,$6829.55,WHITE,11/12/1968
204,Raymond,Stewart,57,Wevig Road,Obricbok,DE,12670,$9185.88,RED,01/15/1957
205,Micheal,Stevens,29,Nelzol Manor,Nufavin,ND,22091,$2144.55,WHITE,06/03/2063
206,Manuel,Fleming,28,Vohfu Path,Zanuuk,IA,61260,$245.07,GREEN,04/21/1947
207,Tom,White,22,Wuta Pass,Ramgipdo,FL,93498,$7292.08,BLUE,02/07/1950
208,Jayden,Moreno,38,Evapa Park,Hawlerij,UT,57732,$2612.89,YELLOW,10/12/2053
209,Lola,Saunders,49,Ofudit Square,Mehukedo,MA,06653,$7699.56,BLUE,05/31/1988
210,Roger,Crawford,23,Fehnar Mill,Gugtupu,NY,28316,$2994.00,GREEN,07/01/2034
211,Iva,Paul,55,Odefe Terrace,Osejosip,ID,36064,$7882.35,GREEN,01/16/2050
212,Lelia,Thomas,19,Penal Center,Zujati,AZ,59916,$7129.12,BLUE,11/04/1948
213,Owen,Park,40,Cedtut River,Huwlodu,ME,73035,$3240.12,WHITE,08/27/2060
214,Garrett,Rose,61,Bonir Junction,Zabtitu,FL,62665,$5192.32,YELLOW,12/03/2033
215,Elsie,Gilbert,28,Adkew View,Oburepte,WV,94755,$1498.25,YELLOW,01/10/2048
216,Bernice,Hammond,59,Sathaj Heights,Irkoziv,PA,39192,$4284.42,GREEN,01/12/1928
217,Earl,Dean,33,Ursi Park,Etajeje,WV,12493,$1796.18,WHITE,04/08/1997
218,Lydia,McCormick,48,Wizhob Square,Gahgocsu,IA,96454,$1221.55,BLUE,02/06/2008
219,Emily,Cummings,45,Vego Junction,Honwasif,RI,72296,$3991.69,YELLOW,02/19/1990
220,Herman,Warren,24,Kusom Point,Adcisa,CA,12760,$4136.66,RED,03/14/1948
221,Katherine,Burns,59,Voham Avenue,Fevebgi,OK,30196,$6199.80,RED,05/09/1997
222,Glenn,Vega,18,Amuum Square,Wolema,MS,66565,$8891.92,YELLOW,11/24/2060
223,Gregory,Rose,41,Huram Place,Wubier,CO,06941,$1649.71,RED,05/13/1935
224,Scott,Newman,61,Buadi Key,Bilarep,DE,83947,$8785.26,RED,03/27/2045
225,Cory,Simmons,38,Pomnig View,Loimlof,MA,29273,$974.39,YELLOW,03/14/1977
226,Henrietta,Glover,50,Regu Mill,Tovoubu,VT,03187,$4992.58,GREEN,09/02/2031
227,Patrick,Carlson,50,Mebtu Trail,Nocejinov,RI,04459,$9937.10,YELLOW,10/13/2061
228,Harriet,Perkins,35,Giiz Pass,Coulumi,KS,62241,$4432.47,GREEN,07/22/1981
229,Matthew,Fox,23,Soag Park,Awafotcam,AR,37643,$6996.95,WHITE,04/30/1928
230,Cole,Harmon,29,Nojco Pike,Sempoba,FL,92090,$9242.17,YELLOW,06/19/2036
231,Warren,Abbott,41,Suraj Street,Pufnerud,ME,51772,$8148.85,GREEN,08/06/1912
232,Belle,Cross,32,Wejek Circle,Igakuof,FL,01589,$8347.33,RED,11/15/2006
233,Katherine,Butler,35,Mabat Pass,Laruffiz,MT,31840,$4736.13,BLUE,08/09/1936
234,Ryan,Higgins,60,Pohjag Grove,Gibuveod,OK,51997,$4600.64,YELLOW,06/04/1931
235,Caroline,Lynch,63,Resdu Circle,Launolun,ND,14907,$4764.85,WHITE,04/15/1948
236,Violet,Austin,55,Itpo River,Fuhlima,MN,19874,$7242.13,GREEN,12/20/1999
237,Chad,Sparks,38,Ruej Circle,Itehope,WY,54259,$3211.73,BLUE,07/21/2031
238,Clarence,Obrien,39,Kachol Pike,Irkeglo,VT,23231,$945.58,WHITE,03/14/1992
239,Isaiah,Todd,38,Duwlep View,Tavhokuc,NY,83050,$1655.48,YELLOW,04/03/1961
240,Luis,Lucas,33,Ujifo Pass,Lidsoifi,MN,17355,$5562.32,GREEN,05/04/1978
241,Manuel,Williams,42,Olekug Path,Cicetgod,MD,25991,$6784.15,WHITE,02/27/1922
242,Clayton,Jensen,24,Jitu Street,Enurjeg,PA,45548,$7963.52,GREEN,03/08/1964
243,Frederick,Davidson,31,Ocloj Court,Gacujkuj,ND,62110,$5405.57,YELLOW,12/13/2066
244,Elsie,Tran,54,Pihso Heights,Gapotjev,LA,25772,$7894.88,GREEN,05/12/1949
245,Katie,Weber,61,Idgu Point,Rivowovos,MT,79130,$4314.30,RED,08/19/1974
246,Cornelia,Barrett,40,Witoh Turnpike,Jumfehek,TX,27644,$169.45,RED,02/14/2021
247,Edwin,Brown,26,Veha Ridge,Durafuc,RI,71140,$5587.77,WHITE,04/03/2011
248,Ina,Schneider,24,Hebpi Grove,Vinizcu,NJ,99759,$2710.57,WHITE,10/25/2041
249,Eunice,Jimenez,36,Jife Mill,Guwewete,MS,31350,$4294.79,YELLOW,11/25/2041
250,Mildred,Wilkins,19,Iwdum Way,Tajgojo,DC,45590,$2486.93,WHITE,06/16/2062
251,Jeffery,Cummings,42,Dujni Place,Levmutpi,RI,28458,$3248.37,YELLOW,08/30/1995
252,Leonard,Yates,43,Beob Extension,Ojjotupo,MT,03891,$2461.26,BLUE,06/21/2013
253,Jerome,Lowe,43,Meja Square,Ikgoncal,CO,40581,$9974.51,GREEN,08/05/1915
254,Dustin,Bishop,56,Namfu Junction,Sujpajlap,ND,32626,$1273.29,BLUE,09/27/1990
255,Dale,Jennings,40,Onze Parkway,Topzamfaf,TN,90536,$7995.17,YELLOW,08/12/1921
256,Alfred,Higgins,35,Dizol Pike,Ujducne,KS,42664,$1659.38,YELLOW,04/14/2024
257,Louisa,Ross,21,Ifeko Pike,Nadazi,NC,28852,$7290.67,YELLOW,12/30/1992
258,Lula,Williamson,36,Kocsev Center,Zetelo,AL,82346,$5571.17,YELLOW,08/31/1932
259,Paul,Alvarado,30,Duram Lane,Febovad,NV,97948,$2670.78,GREEN,11/24/1922
260,Rosie,McKenzie,29,Sutnop Pass,Joruowe,AR,77601,$8549.39,GREEN,09/18/2032
261,Rena,Webster,22,Cagugi Terrace,Agzugep,OK,26082,$5554.75,YELLOW,11/28/1954
262,Marc,Nichols,64,Ucgo Boulevard,Upaobuhu,AL,05486,$3955.49,WHITE,03/09/1942
263,Susan,Stephens,25,Gokweb Avenue,Buhocpic,DC,44414,$574.79,BLUE,03/06/2012
264,Kyle,Parks,58,Imvuw Mill,Liffedlof,RI,36343,$5713.23,WHITE,01/23/2044
265,Leon,Obrien,23,Polsa Lane,Tabgagpe,OH,80735,$7164.51,YELLOW,12/25/1975
266,Katharine,Greer,53,Bajma Key,Hogameca,MD,34981,$9037.34,GREEN,09/04/2021
267,Lucile,Pittman,29,Kupug Glen,Catbapfig,GA,94584,$9004.26,GREEN,05/31/2060
268,Caleb,Craig,62,Naev Turnpike,Husnibul,MA,48577,$2044.01,GREEN,08/23/2061
